Country_Hide,Number of Records,Area,Country,countrycode,Consumption Segment,Level,pce_lcu,pce_ppp,pce_usd,"Sector Category or Product",Region
Cameroon,1,National,Cameroon,CMR,Lowest,National,"1,021.63",3.32,2.06,Water utilities,Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"4,135.67",13.45,8.35,"Appliances articles and products for personal care",Sub-Saharan Africa
Cameroon,1,National,Cameroon,CMR,Lowest,National,"16,612.69",54.01,33.54,Other,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"188,161.70",259.60,207.70,All categories,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"27,141.59",37.45,29.96,Grains,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"1,731.03",2.39,1.91,Dairy,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"30,868.95",42.59,34.07,Meat and fish,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"45,047.66",62.15,49.73,Fruits and vegetables,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"2,222.94",3.07,2.45,Caterig,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"2,735.47",3.77,3.02,Alcohol beverages,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"1,689.24",2.33,1.86,Non-Alcohol beverages,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"21,960.81",30.30,24.24,Other food,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"8,512.62",11.74,9.40,Clothes,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"1,818.03",2.51,2.01,Footwear,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"3,205.30",4.42,3.54,Housing,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,497.25,0.69,0.55,Electricity,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"9,432.39",13.01,10.41,Gas,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,0.00,0.00,0.00,"Other sources (coal firewood etc.)",Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"4,090.81",5.64,4.52,Vehicles and other transport services,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,560.10,0.77,0.62,Fuel,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"1,764.48",2.43,1.95,Pharmaceutical products,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"3,201.80",4.42,3.53,Medical goods and services,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"5,155.86",7.11,5.69,Education,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"1,345.53",1.86,1.49,Telephone equipment and services,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,405.73,0.56,0.45,Other ICT goods and services,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,0.65,0.00,0.00,Financial Services,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"2,250.72",3.11,2.48,Water utilities,Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"2,596.66",3.58,2.87,"Appliances articles and products for personal care",Sub-Saharan Africa
"Congo-Democratic Republic",1,National,"Congo-Democratic Republic",COD,Lowest,National,"9,926.10",13.69,10.96,Other,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"322,341.30",738.36,650.83,All categories,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"32,129.28",73.60,64.87,Grains,Sub-Saharan Africa
"Congo-Rep.",1,National,"Congo-Rep.",COG,Lowest,National,"2,826.68",6.47,5.71,Dairy,Sub-Saharan Africa
